,Unnamed: 0,Star,Comment,adtext
5543,5543,1,nan,nan
5545,5545,1,快银死了没想到 去韩国打伤了顺便整个容回来的英雄们,快>荫歹匕了没想到 去!韩国打伤了顺便整个容囗口来的英雄们$
5548,5548,1,不剧透的良心让我什么都不能说,不剧透得liang心-让我什么都不能说
5550,5550,1,总还是要有些英雄色彩涂画在梦里的 已经无法说出 最爱 谁谁谁了 Together haha,总还是要有些英雄色彩涂画在梦里的 已经无法说出 zui爱 谁谁谁了 Tog^e+t&h&e+r# h&a+h&a+
5552,5552,1,终于看了 还是IMAX的 看完表示爱上了Elizabeth Olsen,zhong于kan了 还是IMAX的 kan完表示ai上*了E^lizabeth Olsen
5553,5553,1,略有失望 期待快银 红女巫 幻视的传记篇 期待绿巨人和黑寡妇的发展 彩蛋太没诚意,lve𠂇月失望 期$待哙银 红女巫 幻视的传记篇 期$待绿/巨/人和黑寡妇的发展 彩蛋太没诚意
5554,5554,1,槽點無數 節奏有問題 人物塑造不清 可我就是愛看 美隊哪兒好了 逆轉未來哪兒好了 別人說好就是好,槽點無數 節奏有問題 人物塑造不清 可我就shi愛看 美+隊^哪<兒/好*了 逆轉未來哪<兒/好*了 別人說=好*就shi好*
5558,5558,1,听到科学对话就犯困 基本不打就脱眼镜练听力 打了就带眼镜 反派创造那个肉身新人好喜欢 其实就是喜欢勾勒身材的紧身衣而已 快银小天使迷倒人 不知道是不是位置问题 感觉画面很昏暗 以后再也不坐第三排了 A,ting到<禾斗xue镦hua就放kun 丌贲不搭就脱眼镜练$ting力= 搭了就带眼镜 反派创造那个肉身新人好喜欢 其实就是喜欢勾勒身材的紧身衣而已 快银小天使迷倒#人 不知道是不是位@置^问@题 感觉画面很昏暗 以后再也不坐第三排了 A
5561,5561,1,节奏有点不过瘾 CP饭一本满足了 盾铁 双Chris 寡绿 科学组 AI组 还有妮妮和幻视奥创的父子P x,ji#ezou有点不guoyi#n CP饭一本man足了 敦铁@ 双Chri#s 寡绿 科学组 AI组 还有妮妮和幻视奥创的父子P x
5562,5562,1,iSquare iMAX,iSquare iMAX
5564,5564,1,团结的一群主演 科幻效果确实不错 故事情节略单薄,团结的一群*主演 /科幻效果石角实不cuo /故事情节虐单薄
5565,5565,1,快银 还我的快银,快引 还我的快引
5568,5568,1,过瘾爽片系列 剧情什么的就算了吧,过瘾-shuang片!系列 剧情什么的就suan了吧
5569,5569,1,脑残粉评分无原则,月㐫残粉评分无!原则
5572,5572,1,熟面孔的快餐,熟面子乚的快餐
5573,5573,1,似乎想说的太多 串联起来后有一丝匆忙 看着也觉得疲惫,似#乎想@说的胎多 串联起来后有一丝匆忙 看着也jue得疲=惫
5575,5575,1,Huzhou 早起的惊喜,Huzhou 早起的悚xi
5576,5576,1,复联 超级英雄纪念碑,复联 >炒级英雄纪念碑
5577,5577,1,大家都走了 我在电影院傻傻等着彩蛋 以为会有冬兵 没想到 只有一秒的绿面大叔 _,大家都走了 我在电影阝完傻傻等着彩蛋 以/力會有冬+兵^ 没想到 只有一秒的绿面大叔 _
5580,5580,1,就是完全没觉得有D效果,就是完全@酶觉得有D效果
5581,5581,1,Alan shaon 配音的奥创个性太明显了 不过很精彩 除此之外就是美式小幽默 就没别的了,A+lan shaon 配音的奧创个什太@明*跹了 bu过*很精彩 除此之外就是美式小幽默 就没别的了
5582,5582,1,刷了个无字幕版本 结合画面痛苦的听了半天还好剧情不费力基本懂了 最后超烦蜘蛛出来话痨简直赞,shua了个无字<姆版本 结he画面>痛!艹古de听$了半天还好剧情不#费力基本懂了 最后超烦蜘蛛出来话痨简直赞
5585,5585,1,无力评价 总体提劲,wu笠评价 总体提劲
5587,5587,1,毕业,毕业
5591,5591,1,英雄太多僧多粥少 旧英雄应该会逐渐退出了 还死新英雄 还是影响以后漫威电影剧情的英雄 这以后要怎么编 翻译不是贾秀琰了 更不是之前宣传的谷大 而是谷歌,艹央雄太多僧&多粥shao 旧艹央雄应该会逐渐#退屮凵了 还歹匕新>艹央雄 还是影响以后漫威电影剧情的艹央雄 这+以后要@怎&么<编 翻译不是贾!秀琰了 更不是之前宣传的谷大 而是谷歌
5592,5592,1,电影优点缺点都很明显 守卫战分成嗨 情感戏非常蛋疼 反派一如既往低智商啊 下一部的反派再这么天真真的没法看了 建议诺兰监制,电影优点缺点痘恨明显 守卫战分成海 情感戏非常凼疼 反派一+如既往低智*商-啊$ 下=一+部<的&反派再这么天真真的&没法看了 建议诺兰监制
5600,5600,1,ok,ok
5603,5603,1,BOSS后面被干得莫名其妙 前面还是很精彩的 等最后字幕后的彩蛋失望了 没有,BOSS后面被干得#莫名其妙 前面还|是@hen精#彩的 等最>后字幕后的彩蛋失望了 没有
5605,5605,1,一般般,一般般
5608,5608,1,挺好看 说不好看的估计是看不懂,ting好看 >说不好看的估计是看不懂
5610,5610,1,火爆 但奥创真是弱了点,火爆 但奥创zhen是ruo了点
5615,5615,1,比想象中略好,bi想象中略好
5617,5617,1,凭借连贯的打斗镜头和巧妙的剧情安排延续第一部经典,拼借连贯的打斗镜头和巧妙的剧情安排yan续砥一!部经典|
5618,5618,1,没有第一部和美队那么激动人心 不过仍是一部合格的漫威圈钱大片 萌点激点燃点全都有 碾压同档期其他电影 期待下一部,没you第一部和美队那么激动人xin +不过仍是一部合格的漫威@圈%钱$大片 +萌-点%激点%燃/点%全*都$you +碾压同档期其他电影 +期待下一部
5619,5619,1,有人说对这个影片很失望那只能是因为被预告片忽悠了 对我来说它很符合我的期望了 所以看的很爽 最酷依然钢铁侠 最美依然寡姐 而且钢铁侠作为一个有钱人真真是为一切花钱啊 摧毁建筑之前都先把它买下来 造成别人损失也有斯塔克救助基金会 这次还为创造奥创而独背黑锅 真可爱 字幕确实垃圾,有人说对这个景彡厂很失望那zhi塄是因为被庾搞厂勿心悠-了 对我来说它很符合我的期望了 所以看的很爽 最酷依然钢铁侠 最美依然寡姐 而且钢铁侠作为一个有钱人真真是为一切花钱啊 摧毁建筑之前都<先|把+它买&下>来 造/成-别>人损=失也*有斯#塔|克救#助基金会 这次还为创造/奥创而独背黑锅 真可爱 字幕确实垃圾
5623,5623,1,只能说所有说没主线尿点多不好看的人都是没有将所有暗线看懂的 至于主线么 你当最后灭霸出来是为了炫耀他的新手套 有空补补再去看吧 这已经不是妇联可以没有任何基础前提下随便看看的了 妇联的梗不看完全部是不会懂的 还是那一句 Marvel在下一盘很大的棋,日䏍𫧇说所有说没主线尿点多不好看的人都是没有将所有暗线看懂的 至于主线么 你当最后灭霸出来是为了炫耀他的新手套 有空补补再!去%看吧- 这%已-经@不是妇|联=可以!没有任#何>基@础-前#提#下|随#便!看看的了 妇|联=的梗不看完全部是不会懂的 还是那一句 Marvel在下|一盘很大的棋
5627,5627,1,超级英雄里最后的大boss还是绿巨人嘛,走召纟及英雄里最后的daboss还是绿ju人嘛
5629,5629,1,挺好看的啊,挺好kan的啊
5632,5632,1,几乎所有的线索都将最终一战指向了克里人,几hu所有的线索dou将醉zhong一战指向了克里人
5634,5634,1,虽然不知道他们到底在鼓捣啥 但是特效还是拿下了不少分 虽然不如第一部 但是一样下一部能更好吧,sui然不知道他们到底在鼓捣啥 亻旦是特效还是拿下了不少分 sui然不如第一|部^ 亻旦是一|样<下一|部^能^更%好!吧
5635,5635,1,看到三分之二觉得文戏过多 可是最后的大战完全扳回 好看,看到三分之二觉得文戏过多 /可是zui后的哒战完全扳囗口 /好%看
5636,5636,1,虽然有些对话不知所云 黑寡妇和浩克的爱情突如其来 但是女巫和快银小天使还是魅力满满 可惜了我的小天使啊小天使,sui嚷有#此二对话不知所云 黑/寡女彐和浩&克的艾情突!如其来^ 但是女巫和快银小天使还是魅力满满 可惜了我的小天使啊小天使
5637,5637,1,博士加半星,博士jia半星
5639,5639,1,孕妇慎看 整个城市飞起来时的低频噪音简直叫人抓狂 以及除了谈情说爱基本无尿点 坐俩小时舍不得上厕所也是醉了 以及虽然妮妮傲娇再次爆棚 我还是最爱他啊 o,孕女彐慎龵目 整丫cheng适飛起^來时白勺低频燥音@简直叫人+抓#狂$ 以及除了谈情说爱基本无尿点 坐俩小时舍不得上厕所也是醉了 以及虽然妮妮傲娇再次爆棚 我还是最爱他啊 o
5644,5644,1,感觉亚伦约翰逊在里面打酱油有点大材小用了,gan觉亞伦约颔逊在里面打酱油有点怛材小yong了
5646,5646,1,当做一个相爱相杀的爱情片看来着,当做一$ge相暧相杀的暧情片看来着
5647,5647,1,我想看这部电影 一年了,我想看这部电景彡 一牢了
5650,5650,1,十分给力的科技大片 各主角都可圈可点 特效惊人 剧情也可以 能跟其它迈威动画衔接上 片尾的彩蛋终于灭霸出场 看样子可能复亲自上场了 拭目以待,shi分gei力的科技大-片 各@主角逗可圈可点 特效惊<人/ 剧情也可以 能跟其它迈威动画衔接#上+ 片尾&的彩-蛋终于灭霸出场 看样子可能复亲自上+场了 拭目以待
5652,5652,1,必须要说我是漫威nc粉 不管怎么样都会支持的 还有谁说幻视最后和奥创一起挂了 不过一下子多了这么多复仇者还真亟不可待的想看了呢 不管怎么说很好看 再说了这样的电影看效果就好了呀 反正国产电影永远做不出来,bi彡页要说沃是氵曼隈nc封 不管怎么样都會十又吃的 还有!谁说幻视最后和奥创一起挂了 不过一下子多了这么多复仇者还真亟不可待的想看了呢! 不管怎么说很#好+看 再说了这样的电影看效果就好+了呀 反正国产电影永远做不出来
5655,5655,1,爽片 笑点多 翻译烂 大家都别看字幕就好了,shuang片 笑点多 翻译烂 大家都别看字幕就旺了
5656,5656,1,比好,比好
5658,5658,1,这种大制作满天飞的爆米花大片是一定要去影院的 尤其要选imax 这种 话说这种只会干干干的电影 还是蛮爽的 除了有些无脑 看来我要去恶补漫威宇宙了,這种大制作蔓天飞的爆米花大片是一定要去影院的 尤其要选imax 這种 话说&這种只*会-干*干*干*的电/影 还&是蛮/爽-的 除%了^有+些无脑 看来我要去恶补漫威宇宙了^
5660,5660,1,最爱绿胖,zui爱绿胖
5661,5661,1,嗨 特别喜欢黑寡妇跟绿巨人两个 也喜欢他们互慕 然而她还是最适合做美队的搭档 美队超越了牵绊 黑寡妇则在这项事业上天赋技能勇气满格 超出其他人太多 所以他们俩都更适合做专业的战士与leader,还 慝别+xihuan黑寡妇跟^lvju人两個 也%xihuan他们互%慕> 然%而她还是最适合做美队的搭档 美队超越了牵绊 黑寡妇则在这项事业上天赋技能勇气满|格- 超出|其=他人太多 所以他们俩都更适合做专业的战士与leader
5662,5662,1,影院观 喜欢猩红和快银,影皖观 喜huan猩红和快银
5663,5663,1,说真的有点小失望 比起妇联差太多 娱乐性基本就是笑点撑过来的orz 不过基友说得对 看得是情怀,shuo%真的有点小丿夫望+ 比起妇联差太多 娱乐性基本就是笑点撑-过/来|的o%rz+ 不过/基友shuo%得对 看得是情怀
5664,5664,1,中规中矩的漫威复仇者 快银死了怎么搞,中规中矩的漫威fu仇者 快堙歹匕了怎么搞
5672,5672,1,你说好不好 中间看睡着了 绿胖跟铁人那段不错 其他的都是垃圾,你说好不-好 中间看shuizhe了$ 绿胖跟铁人那段^不-错 其-他的都是垃圾
5677,5677,1,其实还是感觉一般,其实还是感觉一!ban
5679,5679,1,不要问我好不好看因为我至少会再看两遍 还是建议观影前对Marvel之前的电影有足够了解 有一定了解之后会发现满满是梗,不要+wenwo好不好龵目因为wo至少会忖龵目椋bian 还|是建<议<观影前对Marvel之前的电影有足够了解 有一定了解之后会发现满满是梗
5680,5680,1,虽然英文渣但是那个字幕也是有点看不过的,suiran英文渣但是蜡个字幕也是𠂇月点看不过的
5682,5682,1,比预期好 感觉比强,bi预期好 gan觉bi强
5683,5683,1,故事有承上启下的作用 期待三,故事有承上^启下的作用 其月待$三
5688,5688,1,就看看,就看看
5689,5689,1,上映首日去看 感觉没多大惊喜 漫威剧情看多了就觉得千篇一律 猩红女巫新鲜血液的加入还是可以期待下的 黑寡妇依旧酷炫 可是配绿巨人这搭配 不协调,shang日央收日去$龵目 gan觉没多dajingxi man威!剧情龵目多了>就觉得-千篇一律 猩红女巫新鲜血液的加入还是可以期待下的 黑寡妇依旧酷炫 可是配绿巨人这搭配 不协调
5692,5692,1,Together,Tog%ether
5694,5694,1,憋尿看完整场 真是给力 锤哥也终于吃瘪一回了 哈哈 可惜的是娜塔莎最后还是没和巨人双宿双飞啊,憋尿看wan整场 十具是gei力 chui哥/也钟于>吃瘪一hui了 哈哈 可惜的是娜塔莎最后还是没和巨^人双宿双飞啊
5695,5695,1,没有第一部好看 有一段差点睡着 四颗星给动作戏,没有第一部好看 #有一段差点目垂着 #sikexing给动作戏
5697,5697,1,第一次看IMAX 还是被技术和场面震到了,di一次看I@MAX 还是被技术和場面zhendao了
5699,5699,1,帅哥有点老了 好像一直活着见证历史啊,shuaige铕点老了 好像一直活着见证历史啊#
5700,5700,1,cp站好队 内战要开会 M家玩催泪 谁都别想睡 BTW 鹰眼这一部不愧是第一男主啊 你tm立这么高的flag flag都高得捅破苍穹了 居然没死 好吧 小肥啾也不可能死啦,cpzhan好dui 内蘸要*开+会 M家=玩催l|ei 谁+都别想#睡 B-TW 鹰眼这一部不愧是第$一男主啊 你tm立这么高的fl|ag< fl|ag<都高得/捅/破>苍穹了 居然没死 好吧 小肥啾也不可能死啦
5701,5701,1,漫威系列的门槛越来越高 最后留下来的一定必须都是真爱粉 我爱幻视 以及猩红女巫 以及美国队长,漫威系列的门槛越来越高 最后留下来的一定必须都是真爱>粉 我爱>幻视 以及猩&红&女@巫^ 以及美/国%队&长-
5702,5702,1,一堆正义打一堆邪恶的时候总是觉得振奋人心,一堆一止义打一堆邪恶的时候𠮦心是觉得振fen人xin
5703,5703,1,再播两部 主角就可以组织踢一场足球赛了,zai播两-部 主#角就可以组织踢一场足球赛了
5704,5704,1,重拾了去电影院看电影的信心 lol,重拾了去电ying院炕电ying的信xin lol
5706,5706,1,看得爽 就是色调偏暗,看得shuang 就是色调偏暗
5710,5710,1,爽就行了,shuang就行了
5711,5711,1,想看黑寡妇前传,想看⑧灬寡妇前传
5713,5713,1,看这部片的时候有个冲动 想把早期的科幻片扒出来看看 看科技是否真的按照那个方向发展的 整部片看完了 剧情还模模糊糊 中间貌似都处于跑神阶段 一直在看 但好像又置身其外,看这=部片的肘hou𠂇月个舂dong 想=八zao期@的科幻片扌八屮凵来#看看 看科技是否真的按照那个方向发展的 整部片看完了 剧情还模模糊糊 中间貌似-都处于跑神阶段 一直在看 但好像又置身其外
5714,5714,1,哎 虽然有点点乱 比差了点点 但还是很爱啊,哎 碎然有点点乱 比差了点点 但还是henai啊%
5720,5720,1,我觉得比精彩啊,我觉得比精cai啊
5721,5721,1,场面很赞 一如既往的拯救主题,场面henzan 一如既往的拯救主题
5722,5722,1,好看好看,好看好看
5723,5723,1,整个系列里很中庸 电影仅三星 一星给情怀 其实也不能怪 毕竟承上启下之作总会让人诟病 包括剧情各方面 猩红女巫真是一秒就爱上 她才是终极boss 混沌魔法有着毁灭宇宙的能力 万磁王的这对子女还是不错的 可是你妹的弄死快银是几个意思 这里面也铺垫了 我女巫大旺达最后嫁给了幻视 醉了,整个系列里很中庸 电影仅嗓星 一星给情怀 其实也不能怪 毕竟承上启下之作总会让人诟病 包括剧情各方面 猩红女巫真是一秒就!爱上 她才$是终!极/b-o!s-s- 混-沌=魔/法&有+着<毁<灭&宇%宙+的$能力@ 万#磁&王|的$这/对子|女还是不错的$ 可是你妹的$弄死快银是几个意思 这/里面也铺垫了 我女巫大旺达最后嫁给了幻视 醉了
5724,5724,1,为了快银多打一星,为了哙钅艮多打一星
5728,5728,1,视效已经突破天际了 剧情就相应地弱了好多 快银是会复活的吧,视效已经突石皮天际了! 剧|qing就相应地弱=了!好多 快银是%会复活的吧
5730,5730,1,走心 黑寡妇和绿巨人,走xin 黑寡fu和绿巨人
5731,5731,1,木有完全看懂 呜呜,木𠂇月完全看懂 呜<呜<
5732,5732,1,八张脸就够打星了 我就是这么任性,ba张脸jiu够打星了 我jiu是这么任性
5734,5734,1,第一次去影院看首映 事實證明老人家如我下次就不要逞強看什麼首映 回到宿舍一睡睡到下午兩點,di一此去景彡院<看首映 事實zheng明老renjia如我下此就不要$逞強看什麼首映 回到宿舍一睡睡到下午兩點
5735,5735,1,翻译太搞笑了 场面有点乱,访译太搞xiao了 场面有点乱
5736,5736,1,感觉还好 觉得下一部鹰眼要退役了 可恶的中文配音和烂D把第一部的印象毁了差不多,gan蕨还好 蕨得下一部鹰眼yao退役了 可恶的口丨文%配*音>和/烂D把第一部的印象毁了差不多
5739,5739,1,要不是彩蛋我就打四星了 开场火爆兴奋 后边真的是审美疲劳了 作为承上启下的过度作品 还不错啦 寡妇姐姐一集勾引一个 下一集铁定王大锤 灭霸要来了,吆不是彩蛋我就打司星了 开场火爆兴奋 后边真的是审美疲劳了 作为承上启@下|的过^度#作品& 还+不错+啦+ 寡-妇姐姐一<集勾引一<个 下|一<集铁定王大锤 灭霸吆来了
5740,5740,1,感觉比第一部好 朋友说第一部是几个人物亮个相就能保票房 这一部每个人的设定都很精彩 This is my best Let s all of you against all of me,gan觉比第一部好 朋友说第一部是几个人物亮个相就能保票房 这一部每个人的=设定@都%很^精>彩- T^h^i@s> i@s> m#y bes>t Let s> all of you agai@ns>t all of m#e
5742,5742,1,内战伏笔虐心,内战伏笔nve心
5744,5744,1,有钱任性无比耍帅,友钱任性无比^耍帅
5746,5746,1,这种电影看着挺爽就对了 剧情设计挺合理也 我感觉比第一部更加丰富 但这一部关于友情部分有点潦草的处理了 最逗的还是美队和钢铁侠 双胞胎新加入是亮点 但奥创和幻世太弱了也里面 很遗憾未出现娜塔丽波特曼哈哈,者种电影看着挺shuang就对了 剧情设计挺合理也 我感觉比第一部更加丰富 但者一部关于友情部分有点潦草的处理了 最逗#的还/是>美/队<和<钢/铁!侠| 双-胞@胎=新+加入>是>亮/点 但奥@创和<幻|世太弱了也里面 很遗憾未出现娜塔丽波特曼哈哈
5748,5748,1,额 有点混乱,额 有点混挛
5750,5750,1,有笑点 打斗也蛮好看 快银帅帅 浩克说自己无法生育应该是谦虚噢 哦 幻视真是一个眼睛里有一汪大海的男子噢,尢笑点 打斗也蛮好看 快银帅帅 浩克说自己无法生育应该是*谦=虚<噢! 哦= 幻>视+真/是*一*个眼睛里尢一*汪大海的男子噢!
5755,5755,1,感觉从这部开始就要好看了 可是感觉好多东西电影都没解释 是要逼我去看漫画么,gan觉cong这捕铠始韭要女子看了 可是gan觉女子duo东西电影都没解释 是要逼我去看漫画么
5756,5756,1,在电影院看的很爽 各种特效 哈哈 人很多 买的票都是最后一排角落里的 本想和带爸爸一起去电影院看下电影的 但是爸爸实在不喜欢半途就走了,在电影院看的很shuang 吝zhong铽魈 喏喏 人=很多@ 买=的票!都是最后一排角落里的 本想和带爸爸一起去电影院看下电影的 但是爸爸实在不喜欢半途就走了
5757,5757,1,就是喜欢这种调调 嘣嘣 耍酷 嘣嘣 做人呐最重要是开心 嘣嘣 高科技来了 嘣嘣 赢了,就是嬉歡这种调调 嘣嘣 耍堀 嘣嘣 做人呐最重要是开*心- 嘣嘣 高科技来+了 嘣嘣 赢了
5758,5758,1,超级英雄合体 漫威还是有的一看,吵纟及英雄合体 man威还是有的一看
5760,5760,1,本片的商业植入比较明显的有三星 所有的平板电脑 Beats耳机 班纳在昆式战机中听音乐 奥迪 各种座驾 推特 钢铁侠面板 阿迪达斯 快银的鞋 Skype 片尾娜塔莎手机和鹰眼一家视频 Under Armour 史蒂夫及托尼的上衣,ben片的商业木直入比较明显的有三>星 所有的瓶板电脑 Beats耳机 班纳在昆式战机中听音乐 奥迪 各种座驾 推特 钢铁侠面@板 阿&迪达>斯 快银#的鞋* S!k+y@p=e 片尾%娜|塔>莎/手$机和@鹰眼@一家视频 Under Armour 史蒂夫及托尼的上衣
5761,5761,1,电影院观影 我的部分智商会遭到屏蔽 就是以为是片子欠佳 其实是大荧幕过多占据了我的视觉输入 以致抢占了判断力的部分 还让我丧失敏锐度 以上是昨晚电脑再看复联得出的结论 第二部真的还不错 我喜欢里面照顾到的小细节,钿ying阝完观ying 我的部分智商会遭*到尸并蔽 就是以为=是片子欠佳 其实是大荧幕过多占据了我的视觉输入 以致抢占了判断力的部分 还让我丧^失/敏*锐<度% 以上+是昨>晚$钿脑^再-看%复^联得|出的结论 第二部真的还不错 我喜欢里面照顾到的小细节
5767,5767,1,全程爱心脸面对美国队长,全程砹xin脸面对美国队长
5769,5769,1,第一部也就这水平啊 奇怪为什么这部口碑那么差 看到超级英雄合体还是很燃的 只是寡妇为什么突然和绿巨人好了啊 谁来解释一下,di一部也就这水平啊 奇怪为什么这部口碑那么差 看到@超级英雄合>体还!是<很$燃@的$ 只@是<寡+妇/为什么突/然和绿巨人好了啊 谁来解释一下
5772,5772,1,加了感情戏 感觉好突兀,力口了感情戏 感觉女子突兀
5775,5775,1,星 不需要理由,星 不需要理由
5776,5776,1,连速度与激情这样的渣剧情也可以入 我大复联怎么能不上,讧速度与激情这木羊的zha剧情也可以入 我大复联怎么能不#上&
5778,5778,1,绿巨人和黑寡妇的爱越演愈烈 海扁小子杀回来领了个便当草草了事 故事justsoso 只待天启了,绿叵轫和黑寡婦的愛越演於烈 胲扁小子杀茴来领了个便当草草了事 故事justsoso 只待天启了
5779,5779,1,漫威大型连续剧 承前启后的梗好多 卫星上的Veronica太赞,氵曼戌女怛型连續剧 承前启后的梗好^多 卫星shang的Veronica太赞
5781,5781,1,说实话情节比第一部弱啊我觉得 不喜欢这部的BOSS 人海战术什么的 总有种Lowlow的感觉 翻译是最失败的 但不管怎么样 我还是爱漫威 爱妇联,说实话情节比di一部弱啊我觉de 不喜欢这部的BOSS 人海战术什么的 总有%种*L/o=w^l*o=w^的感+觉 翻>译!是|最失=败的 但不管怎么样 我还是|爱漫威 爱妇联
5785,5785,1,虽然人物和故事不再有新意 但其中很多科幻的科技新产品还是很值得欣赏地,sui然人物和故事不再有新意 但其zhong很多科幻的科技新产<品还是很值得欣>赏&地$
5788,5788,1,感觉整体中规中矩 特效和动作让人眼花缭乱 最后寡姐GJ 还是桃姐说得好 这就是超级英雄的春晚,gan觉整亻本中@规中@矩 特效和动>作rang人+眼=花缭乱 最$后寡&姐GJ 还是桃姐说得好 这就是超级英雄的春晚
5789,5789,1,果然浩克每期都要卖个萌,果然浩克mei期都要卖个meng
5796,5796,1,大制作大场面大卡司大阴谋,da制作dachang面da卡司da阴谋
5797,5797,1,脑残粉驾到,脑残粉驾dao
5798,5798,1,美队颜值胜过一切 BTW最后一幕所有保护钛合金那段拍的时候得多搞笑 所有人对着天空一顿乱挥,mei队颜zhisheng过一川 BTW最后一幕所有保护/钛合金那>段拍的=时+候<得多搞*笑 所有人对着天空一顿乱挥
5802,5802,1,想象力真是炒鸡丰富啊不过作为只看过铁人的观众着实不知道都是肿么回事 无非打打打 如果我有超能力 希望是能拥有任何想要的超能力的能力 韩国演员美哦,想象力真是炒鸡丰>fu口阿不过$作#wei只龵目过$铁#人@的观众=着@实不知道都是肿么回事 无非打打打 如果我有|超能力 希望是能拥有|任何想要的超能力的能力 韩国演员美哦
5805,5805,1,感觉片子节奏有问题 后来看导演对漫威的吐糟也就理解了 应了那句话 期望越大 失望越大 较第一部差 星水平 个人觉得比速七好看 鉴于此 加一星,感/觉片子节*zouyouwen题 后lai看导演对man威$的吐+糟也就理%解>了 应了那句话 期望越大 失望越大 较第一部差 星^水平 个人觉得比速七好看 鉴@于此 加一星^
5806,5806,1,其实刚开始让我看 我是抗拒的 弹不可否认 这种电影在电影院看真得好赞啊,契实gang开始rang卧看 卧是坑拒的 弹不骒否ren 这种电影在电影院看真得好赞啊
5807,5807,1,为它看的IMAX 好晕,为ta看的IMAX 好晕
5811,5811,1,超级英雄我的爱,走召级英雄我的爱
5812,5812,1,幻视是这样来的啊 爱上了绯红女巫 嘿嘿嘿,幻视是这样来的锕 砹上了绯红女巫 heiheihei
5815,5815,1,喜欢旺达这个角色,喜欢日王達这个角色
5816,5816,1,再爆米花啲吧,再爆米哗啲吧
5819,5819,1,打发了一下午的时间 好,打阀了一下午^的时间 好
5820,5820,1,鹰眼你这个人参淫家全队叛徒我吃不下黑寡妇的新西皮啦烦烦烦烦烦 以及没有基妹很不开森 翻译真的有点不知所云_ з _,鷹眼你这个刃参-淫家亠碓pan徒我吃不下hei寡fu的新|西皮啦|烦烦烦烦烦 以及没有基妹很不开森 翻译真的有点不知所云_ з _
5821,5821,1,You guys did a nice job,Yo#u guys did a nice jo#b
5822,5822,1,为了看这电影 折腾了一堆人 也是罪过,爲了看这电影/ 折teng了一堆人 也是醉过
5826,5826,1,Mind is the world,Mi&nd i&s the w<orld
5827,5827,1,本想着去睡一觉 结果真好看,本想着去shui一jue 结果真好看
5833,5833,1,三星半 打得我眼花缭乱 故事讲得有点乱 不过不管是在叉男人还是在妇联里 我都喜欢快银这个角色啊,一二昌半 母得我眼花*缭乩 故事jiang得有dian乩 不%过不%管是在叉男人还是在妇联里 我都喜欢快银这个角色啊
5838,5838,1,火力全开 混战连连 热泪盈眶,火力全一廾 混战连连 热lei盈眶
5839,5839,1,巫女大亮 不过最爱还是黑寡妇 这部里的快银没有 X战警逆转未来 里的卢卡斯帅气呢 开始打的时候就在考虑谁会挂 没想到是他,巫女搭亮 不果嘴愛还是黑寡妇 这部里的快银没有 X战警逆%转未来 里的卢!卡^斯-帅*气!呢- 开始打的时>候就在考虑谁会挂 没想到是他
5844,5844,1,就像恋爱一样 第一部很甜蜜 第二部就开始压抑和虐心了 每个人都有一段悲伤 最好的场景还是停留在一里面几个人背对围站的环形 好像这个team上天入地 所向无敌 但是他们还有各自的生活 也会分开 再联想起美队的第三部 就更虐心了,就!像恋爱一样 第一部很tia&n蜜 第二部就!开始压抑和虐心了 每个人都有一段悲伤 最好的场景还是停留在一里面几个人背&对$围>站-的环<形| 好像这%个te&a&m!上-天^入@地/ 所<向无*敌 但是他们还有各自的生活 也会分开 再联想起美队的第三部 就!更虐心了
5845,5845,1,除了文戏都那么好看 队长真是美啊 真是百搭啊 锤哥好帅 幻视声音好苏,除了文戏都那么奸看 队长真是美啊 真是百搭啊 锤可可奸帅# 幻+视*声音奸苏
5848,5848,1,棒棒的,棒棒的
5851,5851,1,年纪大了 一个电影 随便一处都是泪点 奏这么老了 超级英雄里 壮士与美人迟暮 小鲜肉纷纷登场 感激时光让人衰老 感激时光让人睿智 感激时光让人克制 诺大的星球 谁不是是浩克呢,年纪大了 一个电影 随便一处都是lei点 奏这么老了 超级英雄里 壮士与美人*迟暮> 小=鲜#肉*纷-纷-登-场< 感>激^时*光#让*人*衰老 感>激^时*光#让*人*睿智 感>激^时*光#让*人*克制 诺大的星球 谁不是是浩克呢
5853,5853,1,爆米花电影 大场面给足了 不过看完了 也没有什么印象,爆米花电景彡 大|场面纟合zu了 不过看完了 也没有^什么印象
5854,5854,1,漫威作品 无需多说,man威作频 无需多说
5856,5856,1,奥创太弱了,奥创太ruo了
5859,5859,1,砰砰砰 从头打到尾 剧情十分一般 大boss太脆 各种笑点提神 众Avengers慢动作那段让人肾上腺激增 值得去电影院观看的一部电影,砰砰砰 从头打到尾 剧情shi分一ban 大boss太=脆 各种笑点提神 众Avengers慢动作那段+让+人-肾上腺激增< 值得去电影院观看的一部电影
5860,5860,1,脑残粉评分,脑残fen评分
5861,5861,1,除了有些对话不知所云外 其他都还行 总体没有好看 ps 激光对战有看封神榜的错觉,除!了有些对话不知所云外 其他都还彳亍 总体没!有好看 ps 激=光@对战$有看封神-榜的错觉+
5862,5862,1,排 情侣厅 D with Jason,排 情女厅 D with Ja*son
